chocolate-almond-swirl-cake,"Bake for 45-55 minutes or until the sides pull away from the pan a bit and the middle has firmed. Cool in the pan for 20 minutes, and then transfer to a cooling rack to cool completely."
chocolate-almond-swirl-cake,"Use a mixer to beat the butter on medium speed until creamy. Add the powdered sugar, cocoa powder, milk, salt, and almond extract. Stir by hand with a spoon to incorporate all the powdery ingredients (so you donâ€™t make a mess), and then beat on medium speed for another minute or so. If you want your frosting a bit thicker, add more powdered sugar. If you want it a bit thinner, add more milk a tablespoon at a time. Covered tightly, you can keep the frosting refrigerated for up to a week, longer in the freezer. Bring to room temperature to use."
chocolate-almond-swirl-cake,"If your cake is a bit domed, use a serrated knife to level it out. Cut the cake exactly in half. Scoop a generous amount of frosting onto one half and spread evenly. Top with the other half, if you have the patience to do a crumb layer and refrigerate go for it, or simply slather on the frosting and refrigerate. Bring to room temperature to serve."
Recipe                  ,Instruction
pumpkin-and-feta-muffins,"Preheat oven to 405F / 200C, with rack in the top third. Use the butter to grease a 12-hole muffin pan and set aside, alternately, use paper liners."
pumpkin-and-feta-muffins,"Sprinkle the olive oil and some salt and pepper over the squash. Toss well and turn onto a baking sheet or roasting pan. Arrange in a single layer and bake for 15 - 25 minutes or until cooked through entirely. Set aside to cool. You can do this step a couple days in advance, and refrigerate the squash until you're ready to use it."
pumpkin-and-feta-muffins,"Transfer two-thirds of the squash to a large mixing bowl along with the spinach, parsley, sunflower seeds, Parmesan, two-thirds of the feta, and all of the mustard. Gently fold together. In a separate bowl beat the eggs and milk together and add to the squash mix. Sift the flour and baking powder onto the squash mix, top with the salt and a generous dose of freshly ground black pepper and fold together just until the batter comes together, be careful not to over mix."
pumpkin-and-feta-muffins,"Spoon the mixture into the prepared pan, filling each hole 3/4 full, top each muffin with a bit of the remaining squash and feta (see photo up above). Bake for 15-20 minutes or until the tops and sides of the muffins are golden, and the muffins have set up completely. Let cool for a couple minutes then turn out onto a cooling rack. I like these muffins cooled a bit, served just warmer than room temperature."
Recipe            ,Instruction
black-bread-recipe,"In a small bowl whisk the yeast with 1 1/3 cups / 320 ml of the warm water and sugar, and set aside until foamy. If the yeast doesn't activate, try again."
black-bread-recipe,"In a small saucepan over medium-low heat, combine the cocoa, coffee, molasses, caraway, butter, and salt. Stir constantly until just melted. You want the mixture to be lukewarm when you add it to the other of the ingredients."
black-bread-recipe,"Combine the yeast mixture with the grated carrot and molasses mixture in a large mixing bowl. Add the flours, and stir until you've got a soft, tacky, cohesive dough. If you'r dough is too dry, add more of the warm water a bit at a time. Alternately, if your dough is a bit too wet, and you need to add a bit more flour, do so. Turn the dough out onto your counter and knead for about 5 minutes, or until the dough is elastic and springy. Note: you can do this step using the dough hook on your mixer."
black-bread-recipe,"Shape the dough into a ball, rub with a bit of olive oil, and place seam-side down into an oiled bowl. Cover and allow to rise in a warm, cozy place for 1- 2 hours or until the dough increases in size by at least half. At this point, gently press down, with a closed fist, across the surface of the dough. Turn the dough out onto a lightly floured counter, and coerce into a pleasant-shaped round. Place directly on a very lightly oiled baking sheet, then cover loosely with a floured tea cloth or plastic wrap. Allow to rise in a warm place until nearly doubled in size, another hour. Uncover, brush gently with buttermilk, sprinkle with a dusting of flour, ~1 teaspoon caraway seeds, and use a serrated knife to slash an 'X' deeply across the dough (do your best not to deflate the loaf).Â "
black-bread-recipe,"Bake for 20 minutes at 425F / 220C. Dial back the heat to 350F / 180C, and bake for another 20-25 minutes, or until the loaf develops a structured, toasted-bottomed crust, and the loaf sounds a bit hollow when you knock on it. Remove from oven and let cool for at least 15 minutes on a rack before slicing into."
Recipe             ,Instruction
gingerbread-cookies,"In a medium bowl, sift together flour, baking soda, salt and spices. Set aside.â€¨â€¨In a large bowl, by hand (or with an electric mixer), cream the butter until it is light and fluffy. Add the sugar and mix again until light and creamy. Blend in the eggs one at a time and then the molasses. Add the flour mixture in two additions either by hand or on low speed. The dough should be easy to handle, and not overly tacky. If needed, add more flour, one tablespoon at a time, until it isn't overly sticky. Divide the dough into two pieces, wrap each in plastic and chill for an hour or so.â€¨â€¨ Heat oven to 350 degrees, racks in the middle, and line a couple baking sheets with parchment paper. Set aside."
gingerbread-cookies,"Roll the dough out onto a lightly floured countertop roughly 1/8-inch thick and cut into gingerbread cookie shapes. Transfer to baking sheets. Bake for 7 -10 minutes (for 3 - 4-inch cookies), less for smaller cookies, more for larger. Allow to cool completely before icing."
gingerbread-cookies,"Whisk together the powdered sugar and egg white until smooth and silky. It takes a few minutes. Reserve a bit of this mixture if you like a more opaque icing. You can thin with water from here (one teaspoon at a time) depending on your preference. You can also add any coloring you like at this point. Use a brush (or piping bag) to paint the icing on the cookies, allow to dry completely, store in an airtight container for up to a week."
Recipe               ,Instruction
one-bowl-banana-bread,"Preheat the oven to 350Â°F, and place a rack in the center. Oil a 9-by 5-inch (23 x 13 cm) loaf pan, or equivalent."
one-bowl-banana-bread,"Next, place the mashed bananas in a large bowl. Stir in the coconut oil, and then the brown sugar and coconut milk. Add the eggs and vanilla, and stir until well combined. Add the flours, baking soda, and salt (sprinkling the baking soda and salt across the surface of the batter), and mix just until the batter combines, avoid over-mixing."
one-bowl-banana-bread,"Pour the batter into the prepared pan and bake until golden brown, about 50 minutes. Transfer the pan to a wire rack to cool in the pan for 10 minutes, then turn the loaf out of the pan to cool completely. Slice, and enjoy!"
Recipe        ,Instruction
lemon-focaccia,"Combine the flours, yeast, salt, olive oil, garlic, hemp seeds, and half of the rosemary and thyme in a large bowl. Stir in the warm water, and mix until the dough comes together. Turn out onto a work surface and knead for five minutes or so, until the dough feels smooth and elastic. Rub the dough with a bit of olive oil, and return to a clean bowl. Cover the bowl with a tea towel and allow the dough to rise in a warm cozy place until doubled - 45 minutes, to an hour-ish."
lemon-focaccia,"Preheat your oven to 400F, rack in the middle."
lemon-focaccia,"You can bake the focaccia in a (8x12 or larger) pan or free form on a baking sheet. Tip the dough into baking pan, and deflate with flat hands. Arrange the lemons, olives, and almonds on top, and cover with a tea towel again. Leave to rise for another 20-30 minutes, until the dough is nice and puffy. At this point, use your finger to press deep holes into the dough. Drizzle with more olive oil, sprinkle with any remaining rosemary and thyme, and bake for thirty minutes, or until golden and cooked through. Remove from oven and cool on a rack for a bit before cutting and serving. Sprinkle with a bit more salt if needed."
Recipe               ,Instruction
snickerdoodle-cookies,"Crush the saffron threads with a mortar and pestle until powdery or grind them in a clean spice grinder; alternatively, you can finely mince the saffron. The finer the powder, the more intense the saffron color and flavor in the cookies."
snickerdoodle-cookies,"Split the vanilla bean in half and scrape the pulp into a small saucepan. Add the vanilla pod, milk, and saffron and cook over very low heat, just until bubbles begin to form at the edges, between 180Â°F and 190Â°F (82Â°C and 88Â°C). Alternatively, combine the vanilla pulp, pod, milk, and saffron in a small microwavable bowl, and microwave just until the milk is hot, 20 to 30 seconds. Cover and let steep for about 10 minutes; the milk should have a sunny yellow color."
snickerdoodle-cookies,Sift the flour and baking soda into a medium bowl.
snickerdoodle-cookies,"In the bowl of a stand mixer fitted with the paddle attachment, beat the butter on low speed until smooth, 1 to 2 minutes. Add the granulated sugar, brown sugar, and salt and mix on low speed until well combined. Scrape down the sides of the bowl, then mix on medium speed until light and fluffy, 4 to 5 minutes."
snickerdoodle-cookies,"Remove the vanilla pod from the milk, squeezing off any liquid or pulp clinging to it back into the milk. In a medium bowl, combine the milk mixture, egg, and vanilla extract and whisk vigorously until well blended. With the mixer on medium speed, add the egg mixture very slowly, in a steady stream, and mix until well-incorporated and very smooth, about 30 seconds. Scrape down the sides of the bowl, then mix on medium speed for 30 more seconds.Scrape down the sides of the bowl, then add the flour mixture. Mix on low speed just until uniform in texture. Using a rubber spatula, scrape the dough out into an airtight container or onto a piece of plastic wrap. Cover the container, or, if using plastic wrap, shape the dough into a rough disk, wrap tightly, and refrigerate for at least 3 hours and up to 5 days."
snickerdoodle-cookies,"Preheat the oven to 350Â°F (175Â°C). Line a baking sheet with parchment paper or a silicone mat. Roll 1/4-cup (60 ml) portions of the dough into balls, and place them on the baking sheet, spacing them at least 2 inches (5 cm) apart. Bake for about 16 minutes, until golden but not too dark, rotating the pan midway through the baking time. Ideally, the baked cookies will be tall and slightly undercooked in the center, and will buckle shortly after coming out of the oven. If the cookies don't buckle, don't worry; they'll still be delicious. Let the cookies cool on the pan for 10 minutes before removing. These cookies are best when eaten warm, shortly after they come out of the oven. However, they can be stored in an airtight container at room temperature for up to 2 days. Alternatively, the dough can stored in an airtight container in the refrigerator for up to 5 days, so consider baking only as many cookies as needed and saving the rest of the dough to bake another day."
Recipe                        ,Instruction
buttermilk-berry-muffin-recipe,"Preheat the oven to 400F / 205C, with a rack in the center. Line a muffin tin with papers. I used baking cups here, with those you can skip the tin."
buttermilk-berry-muffin-recipe,"In a large bowl, combine the flours, sugar, salt, baking soda, and baking powder."
buttermilk-berry-muffin-recipe,"In another bowl combine the banana, buttermilk, eggs, vanilla, and butter. Stir until blended and uniform."
buttermilk-berry-muffin-recipe,"Gently stir the berries into the dry ingredients. Pour the wet ingredients over dry, and mix until just combined. For tender muffins, do your best to avoid over-blending."
buttermilk-berry-muffin-recipe,"Fill the muffin tins 2/3 full (maybe a bit more than that), sprinkle with more berries and a generous dusting of cinnamon rose sugar."
buttermilk-berry-muffin-recipe,"Bake for 20-30 minutes (larger muffins on the long side), or until golden-topped, and a tester/toothpick comes out just clean."
Recipe               ,Instruction
coconut-baked-oatmeal,"Preheat the oven to 375F / 190C degrees. Use 1 tablespoon of the butter or coconut oil across the inside of a square 8-inch (or equivalent) baking dish. Spread a single layer of bananas across the bottom of the buttered baking dish, then sprinkle the grapefruit across as well."
coconut-baked-oatmeal,"In a bowl, combine the oats, coconut, the baking powder, and salt. In another bowl, whisk together the maple syrup, coconut milk, water, egg, the remaining butter or oil, and the vanilla. Sprinkle the dry mixture over the bananas in the baking dish. Drizzle the coconut milk mixture over the oats. Arrange the oranges across the top."
coconut-baked-oatmeal,"Bake for 35 to 45 minutes, until the top is golden and the oats are set. Let cool for a few minutes. Drizzle with the rose coconut milk (optional)."
Recipe                            ,Instruction
healthful-double-chocolate-cookies,"Preheat oven to 350 degrees, racks in the top third."
healthful-double-chocolate-cookies,"In a large bowl combine the bananas, vanilla extract, and coconut oil. Set aside. In another bowl whisk together the oats, sunflower seeds, cacao powder, shredded coconut, salt, and baking powder. Add the dry ingredients to the wet ingredients and stir until combined. Fold in the chocolate chunks/chips.The dough is a bit looser than a standard cookie dough, don't worry about it. Drop dollops of the dough, each about 1 - 2 tablespoons in size, an inch apart, onto a parchment (or Silpat) lined baking sheet. Bake for 13 - 15 minutes. Until golden on the bottoms."
Recipe         ,Instruction
baked-doughnuts,"Place 1/3 cup of the warm milk in the bowl of an electric mixer. Stir in the yeast and set aside for five minutes or so. Be sure your milk isn't too hot or it will kill the yeast. Stir the butter and sugar into the remaining cup of warm milk and add it to the yeast mixture. With a fork, stir in the eggs, flour, nutmeg, and salt - just until the flour is incorporated. With the dough hook attachment of your mixer beat the dough for a few minutes at medium speed. This is where you are going to need to make adjustments - if your dough is overly sticky, add flour a few tablespoons at a time. Too dry? Add more milk a bit at a time. You want the dough to pull away from the sides of the mixing bowl and eventually become supple and smooth. Turn it out onto a floured counter-top, knead a few times (the dough should be barely sticky), and shape into a ball."
baked-doughnuts,"Transfer the dough to a buttered (or oiled) bowl, cover, put in a warm place (I turn on the oven at this point and set the bowl on top), and let rise for an hour or until the dough has roughly doubled in size."
baked-doughnuts,"Punch down the dough and roll it out 1/2-inch thick on your floured countertop. Most people (like myself) don't have a doughnut cutter, instead I use a 2-3 inch cookie cutter to stamp out circles. Transfer the circles to a parchment-lined baking sheet and stamp out the smaller inner circles using a smaller cutter. If you cut the inner holes out any earlier, they become distorted when you attempt to move them. Cover with a clean cloth and let rise for another 45 minutes."
baked-doughnuts,"Bake in a 375F degree oven until the bottoms are just golden, 8 to 10 minutes - start checking around 8. While the doughnuts are baking, place the butter in a medium bowl. Place the sugar and cinnamon in a separate bowl."
baked-doughnuts,Remove the doughnuts from the oven and let cool for just a minute or two. Dip each one in the melted butter and a quick toss in the sugar bowl. Eat immediately if not sooner.
Recipe               ,Instruction
triple-ginger-cookies,"Preheat the oven to 350F degree - racks in the top and bottom 1/3 of the oven. Line a couple baking sheets with unbleached parchment paper or a Silpat mat, place the large-grain sugar in a small bowl, and set aside."
triple-ginger-cookies,"In a large bowl whisk together the flour, baking soda, star anise, ground ginger, and salt."
triple-ginger-cookies,"Heat the butter in a skillet until it is just barely melted. Stir in the molasses, natural cane sugar, and fresh ginger. The mixture should be warm, but not hot at this point, if it is hot to touch let it cool a bit. Whisk in the egg. Now pour this over the flour mixture, add the crystallized ginger (make sure it isn't too clumpy), and lemon zest. Stir until just combined."
triple-ginger-cookies,"I like these cookies tiny, barely bite-sized, so I scoop out the dough in exact, level tablespoons. I then tear those pieces of dough in two before rolling each 1/2 tablespoon of dough into a ball shape. From there, grab a small handful of the big sugar you set aside earlier and roll each ball between your palms to heavily coat the outside of each dough ball. Place dough a few inches apart on prepared baking sheets. If you like a slightly larger cookie, use 1 tablespoon of dough for each. Bake for 7-10 minutes or until cookies puff up, darken a bit, get fragrant and crack."
Recipe                      ,Instruction
toasted-almond-sable-cookies,In a medium bowl whisk together the all-purpose and whole wheat flours. Set aside.
toasted-almond-sable-cookies,"In a separate medium bowl, or in the bowl of an electric mixer, beat the butter with the sugar, salt and vanilla, until smooth and creamy, about a minute. Stir in the almonds. Add the flour and mix until barely combined. Add the currants and stir until just incorporated. Scrape the dough into a ball, and if you feel like it needs to come together a bit more, knead it once or twice on the counter top, or until it is smooth. Shape into a round, flat patty shape wrap tightly in plastic, and refrigerate for a couple hours, or overnight."
toasted-almond-sable-cookies,"About fifteen minutes before you're ready to stamp out your cookie shapes, remove the dough from the refrigerator. Position racks in the top and bottom thirds of the oven and preheat to 350F / 180C. And line baking sheets with parchment paper."
toasted-almond-sable-cookies,"Roll the dough out 1/4-inch thick on a lightly floured counter top, and stamp into desired shapes. You can collect and roll out dough scraps as well, after your first round of stamping. But if the dough gets too warm, pop if back in the refrigerator for a bit. Place cookies at least an inch apart on a prepared baking sheets, sprinkle each cookie with a pinch of large-grain sugar, and chill them one last time in the freezer for another ten minutes."
toasted-almond-sable-cookies,"Bake until the cookies are golden at the edges, 13 to 15 minutes, but watch them closely. It's more about coloring than time here. Rotate the sheets back to front about 9 minutes in. Remove from the oven and after a minute or two transfer to a baking rack to cool completely."
toasted-almond-sable-cookies,I store leftovers in big jars and they keep beautifully for days. The recipe makes dozens of tiny cookies. The yield really depends on the size of your cookie cutter.
Recipe           ,Instruction
kale-quinoa-bites,"Preheat oven to 375F, with a rack in the top third."
kale-quinoa-bites,"Butter mini-muffin tins generously, and line with a strip of parchment paper in each indent, this makes popping the bites out of the pan after either baking or freezing simple (see photo)."
kale-quinoa-bites,"Combine the quinoa, eggs, and salt in a medium bowl. Stir in the onion, feta, garlic, kale, and edamame. Stir in most of the breadcrumbs, and let sit for a few minutes so the breadcrumbs can absorb some of the moisture. Fill the prepared muffin tins with the quinoa mixture, pressing the mixture down, and then sprinkling with the remaining breadcrumbs. Bake for 25-30 minutes or until baked through and deeply golden crusted."
kale-quinoa-bites,"Remove the quinoa bites from the pans after a few minutes. Enjoy either hot, or at room temperature spread with salted avocado and lots of chopped chives."
Recipe                                   ,Instruction
whole-wheat-chocolate-chip-skillet-cookie,"Preheat the oven to 350Â°F / 175Â°C degree oven, with a rack in the middle. Butter a 10 (25cm) or 11-inch (28cm) ovenproof skillet, one that is at least 2-inches (5 cm) deep. If you're unsure, measure, because if you use a too small skillet, you'll have a messy overflow."
whole-wheat-chocolate-chip-skillet-cookie,Sift the dry ingredients into a large bowl.
whole-wheat-chocolate-chip-skillet-cookie,"In another large bowl, or in the bowl of a stand mixer fitted with the paddle attachment, add the butter and the sugars. Mix just until the butter and sugars are blended, about 2 minutes using the mixer on low speed. Use a spatula to scrape down the sides of the bowl along the way. Add the eggs one at a time, mixing until each is combined. Mix in the vanilla. Add the flour mixture to the bowl and blend on low speed until the flour is barely combined, about 30 seconds. Scrape down the sides and bottom of the bowl."
whole-wheat-chocolate-chip-skillet-cookie,"Add most of the chocolate to the batter. Mix just until the chocolate is evenly incorporated. Use a spatula to scrape down the sides and bottom of the bowl, then scrape the batter out into the skillet, pressing it out into an even layer. Sprinkle any remaining chocolate across the top, and casually press it into the dough a bit, just enough that it isn't riding directly on top of the dough."
whole-wheat-chocolate-chip-skillet-cookie,"Bake the cookies for 35-45 minutes, or until until the dough is a deep golden brown along the edge, and the center has set. Remove from oven and let cool a bit before slicing into. Cute into wedges or small squares."
Recipe                        ,Instruction
perfect-healthy-granola-recipe,Preheat your oven to 335Â°F with a rack in the center. Line a baking sheet with parchment paper.
perfect-healthy-granola-recipe,"In a large bowl combine the rolled oats, cocoa, seeds, quinoa crisps (optional), cacao nibs, and salt. Use an electric mixer on high speed to whip the aquafaba into floppy peaks. This can take five minutes or so. Use a spatula to gently fold in the olive oil, honey, and vanilla extract. Pour this mixture over the dry ingredients, and fold into a uniform mass."
perfect-healthy-granola-recipe,"Transfer the granola onto your baking sheet. Rub your hands with a bit of olive oil, and pat the mixture into a thin, solid, single layer. Really try to get it as thin as possible, this will result in the best crunchy texture after baking. Bake for 15 minutes, stir, pat down again, and bake for another 15 minutes. Stir one more time, assess, and (possibly) bake for another 5-10 minutes. Keep a close eye on the whole baking process, the granola can burn in a flash, and itâ€™s hard to see it toasting because it is so dark from the cocoa. The key is knowing when to pull the granola from the oven. You need to go long enough to get crunchy granola in the end, pull it too soon, and your granola will still be tasty, but will lack crunch."
perfect-healthy-granola-recipe,"Remove from the oven and stir in the coconut flakes. Allow to cool completely before serving or storing, this can take an hour or two. Store in air-tight glass jars to keep the granola crunchy."
Recipe                           ,Instruction
chocolate-devils-food-cake-recipe,"Preheat the oven to 320Ë_F / 160Ë_C (285Ë_F / 140Ë_C convection). Butter and line two 8-inch (20-cm) cake pan with paper, or two 6-inch cake pans (for the four layers you see pictured), or line two 12-cup muffin tins with paper liners. Whatever pan size you choose, don't fill more than 2/3 full with batter."
chocolate-devils-food-cake-recipe,"Measure the dry ingredients, including the sugar, into a large mixing bowl and whisk with a balloon whisk to distribute the salt, baking soda, and baking powder evenly throughout the other the dry ingredients."
chocolate-devils-food-cake-recipe,"In another bowl, whisk together the wet ingredients (except for the hot water). Once they are well whisked together, slowly whisk in the hot water."
chocolate-devils-food-cake-recipe,"Make a well in the center of the dry ingredients and pour half of the wet mixture. Starting in the middle of the bowl, whisk in a clockwise, circular motion. Don't switch direction or you'll end up with lumps. Gradually add the remaining wet ingredients until you have a smooth, liquid batter."
chocolate-devils-food-cake-recipe,"If you are making a large cake, pour the batter into your pan(s) right away and bake for 40 to 50 minutes until the top is springy to the touch and an inserted skewer comes out clean. If you are making cupcakes, scrape the batter into a container that will fit into your fridge and put a lid on top. Chill the batter for at least one hour. This will thicken it and make it easier to spoon into your cupcake liners. Bake the cupcakes for 18 to 20 minutes, until the tops are springy to the touch and an inserted skewer comes out clean."
chocolate-devils-food-cake-recipe,Decorate your cake or cupcakes with the following Marshmallow Icing.
chocolate-devils-food-cake-recipe,Have your stand mixer with the whisk attachment at the ready.
chocolate-devils-food-cake-recipe,"Measure all of the ingredients into the metal bowl of the stand mixer and place over a pan of boiling water (do not let the water touch the bottom of the bowl or it will cook the egg whites). Whisk continuously until the sugar dissolves and the mixture is very warm to the touch. If using a candy thermometer, whisk continuously for two minutes or until it reads 158Ë_F to 167Ë_F (70Ë_C to 75Ë_C), whichever comes first. Transfer the bowl to your mixer and whisk on high speed until nearly stiff peaks form."
chocolate-devils-food-cake-recipe,"Put the icing into a piping bag with a large round tip (or use a spoon) and pipe (or spoon) large blobs onto your cooled cake or cupcakes. For this cake I iced between the layers, did a thin crumb layer next, and then used a big offset spatula to ice the sides and top."
Recipe       ,Instruction
anzac-cookies,"Preheat oven to 325F degrees. Combine the dry ingredients in a large bowl; flour, oats, sugars, and coconut. Mix well."
anzac-cookies,"In a small saucepan over low heat combine the butter syrup (or honey), and orange zest. Stir until melted and remove from heat. In a small bowl whisk together the boiling water and baking soda. Stir it into the butter. Now pour the butter mixture over the big bowl of oats and stir. Add the orange blossom water and stir again. This is a dough I like to mix it with my hands to make sure the butter is evenly distributed and the dough is moist throughout.Â "
anzac-cookies,"I baked this batch of cookies in a well-buttered, heart-shaped cast iron pan, but you can simply drop them by the tablespoonful onto parchment lined baking sheets. Make sure they aren't too flat or they will get crispy. Bake for about 12 minutes or until deeply golden.**"
Recipe                               ,Instruction
whole-wheat-blackberry-ricotta-scones,Preheat your oven to 425F / 220C degrees. Line a large baking sheet with parchment paper.
whole-wheat-blackberry-ricotta-scones,"In the bottom of a large widish bowl, whisk flours, baking powder, sugar, and salt together."
whole-wheat-blackberry-ricotta-scones,"With a pastry blender: Add the butter (no need to chop it first if your blender is sturdy), and use the blender to cut the butter into the flour mixture until the biggest pieces are the size of small peas. Toss in the blackberries, and use the blender again to break them into half-and quarter-berry-sized chunks."
whole-wheat-blackberry-ricotta-scones,"Without a pastry blender: Cut the butter into small pieces with a knife, and work the butter into the flour mixture with your fingertips until the mixture resembles coarse meal. Roughly chop the blackberries on a cutting board, and stir them into the butter-flour mixture."
whole-wheat-blackberry-ricotta-scones,"Both methods: Using a flexible spatula, add the ricotta and heavy cream to the butter mixture and stir them in to form a dough. Then use your hands to knead the dough gently into an even mass, right in the bottom of the bowl. Don't fret if the raspberries get muddled and smudge up the dough."
whole-wheat-blackberry-ricotta-scones,"With as few movements as possible, transfer the dough to a well-floured counter or surface, flour the top of the dough, and pat it into a circular disk about 1-inch high. With a large knife slice into six equal wedges. Transfer the scones to the prepared baking sheet with a spatula. Bake the scones for about 15 minutes, until they are golden at the edges (hs: I couldn't help but give them a little sprinkle of sugar and a quick kiss of with the broiler for a bit of color on top). Cool on the pan for a couple minutes before transferring to a cooking rack. Allow to set and cool a bit before eating."
whole-wheat-blackberry-ricotta-scones,Makes six extra-large scones.
Recipe                              ,Instruction
lemony-olive-oil-banana-bread-recipe,"Preheat the oven to 350Â° F, and place a rack in the center. Grease a 9- by 5- inch (23 x 13 cm) loaf pan, or equivalent."
lemony-olive-oil-banana-bread-recipe,"In a large bowl, whisk together the flours, sugar, baking soda, and salt. Add the chocolate pieces and combine well."
lemony-olive-oil-banana-bread-recipe,"In a separate bowl, mix together the olive oil, eggs, mashed banana, yogurt, zest, and vanilla. Pour the banana mixture into the flour mixture and fold with a spatula until just combined. Scrape the batter into the prepared pan and bake until golden brown, about 50 minutes. You want to get that beautiful color on the cake, but at the same time you don't want to bake all the moisture out of it. So the minute you're in that zone, pull it. Erring on the side of under-baking versus over."
lemony-olive-oil-banana-bread-recipe,"Transfer the pan to a wire rack to cool in the pan for 10 minutes, then turn the loaf out of the pan to cool completely."
lemony-olive-oil-banana-bread-recipe,"While the cake is cooling, prepare the glaze. In a bowl, whisk together the sugars and the lemon juice until smooth. When the cake is completely cool, drizzle the glaze on top of the cake, spreading with a spatula to cover."
lemony-olive-oil-banana-bread-recipe,Serves 10.
Recipe                                    ,Instruction
whole-wheat-oatmeal-chocolate-chip-cookies,"Preheat the oven to 350F / 180 C, with racks placed in the middle. Line two baking sheets with unbleached parchment paper and set aside."
whole-wheat-oatmeal-chocolate-chip-cookies,"In a medium bowl combine the oats, flour, wheat bran, baking soda, baking powder, and salt. Set aside."
whole-wheat-oatmeal-chocolate-chip-cookies,"Either by hand, or using an electric mixer, cream the butter until light and fluffy. Beat in sugar for 3+ minutes, scraping down sides a few times along the way. Incorporate the eggs one at a time, then the vanilla - scraping the sides of the bowl another time or two. Add the dry mixture, and stir until everything barely comes together. Then stir in the chocolate, mixing until it is evenly distributed throughout the dough."
whole-wheat-oatmeal-chocolate-chip-cookies,"Use a small ice-cream scoop, spoon, or 1/4 cup measuring cup, to make uniform dough balls. I used a metal 1/4-cup measuring cup, filling it about 3/4 full. Arrange each cookie at least 3-inches apart on the prepared baking sheet. They'll flatten out quite a bit. For extra crisp cookies, bake until deeply, deeply golden on the bottom, about 15+ minutes. Rotate the pans once about 2/3 the way through baking - back to front, top to bottom. Like your cookies a little chewier? Bake for less time. Cool on a rack."
Recipe               ,Instruction
healthy-cookie-recipe,"Preheat oven to 350F. In a large bowl combine the bananas, vanilla extract, and coconut oil. Set aside. In another bowl whisk together the oats, almond meal, shredded coconut, cinnamon, salt, and baking powder. Add the dry ingredients to the wet ingredients and stir until combined. Fold in the chocolate chunks/chips. The dough is a bit looser than a standard cookie dough, don't worry about it.Â "
healthy-cookie-recipe,"Drop dollops of the dough, each about 2 teaspoons in size, an inch apart, onto a parchment (or Silpat) lined baking sheet. Bake for 12 - 14 minutes. I baked these as long as possible without burning the bottoms and they were perfect - just shy of 15 minutes seems to be about right in my oven."
Recipe         ,Instruction
frittata-recipe,"Preheat your oven to 450F degrees. Make the cilantro chile sauce by pureeing the garlic, olive oil, lemon juice, cilantro, chile, cumin, and salt until very smooth. Taste and add more salt if needed. Set aside."
frittata-recipe,"In a medium bowl whisk the eggs with a small pinch of salt. Set aside. In a (small) 8 1/2-inch ovenproof nonstick skillet over medium-high heat add the olive oil, onion, and another pinch of salt. Saute, stirring constantly, until the onion starts to brown, 5 - 7 minutes. Add the potatoes and zucchini (or cauliflower), cover, and cook for another 3 minutes or so. Slide everything out of the skillet onto a plate and set aside. If you are using purple potatoes you might want to pre-cook them separately so they don't stain the rest of the ingredients."
frittata-recipe,"Turn down the heat a bit. Using the same skillet, add the eggs and cook over medium-low heat for about 5 minutes or until the eggs are just set and there isn't a lot of liquid running around the pan. To facilitate this, run a spatula underneath the sides of the frittata and tilt the pan so the uncooked eggs run to the underside and cook. Drizzle the eggs with a few tablespoons of the cilantro chile sauce, now sprinkle the potato onion mixture over the top."
frittata-recipe,"Place the skillet in the oven and bake for about 9 minutes, or until well set and puffy. Add a crumble of goat cheese and the pumpkin seeds across the top of the frittata in the final 2 minutes of baking. Remove from oven (be careful the handle is hot!), cut into wedges and serve."
Recipe                  ,Instruction
perfect-stovetop-popcorn,Heat a wide pot or skillet over medium-high heat. Make sure the pan is completely dry to start. Place 5 or 6 popcorn kernels in the pan and cover leaving just a hair of a crack open.
perfect-stovetop-popcorn,"When the kernels start to pop add the rest of the them, cover again, and cook until the remaining kernels pop, shaking now and then. Dial back the heat a bit as the popping slows. Remove from heat when the popping is every few seconds."
perfect-stovetop-popcorn,"Add half the butter to a large bowl, transfer the popcorn, and toss well with the remaining butter and salt to taste."
Recipe            ,Instruction
how-to-cook-quinoa,To cook quinoa combine the quinoa with water and salt in a medium saucepan.Â 
how-to-cook-quinoa,"Bring to a boil, cover, decrease the heat, and simmer for 20-ish minutes, covered, or until the quinoa is tender and you can see the little quinoa curlicues. Fluff with a fork and enjoy!"
Recipe      ,Instruction
pesto-recipe,"Start chopping the garlic along with about 1/3 of the basil leaves. Once this is loosely chopped add more basil, chop some more, add the rest of the basil, chop some more. I scrape and chop, gather and chop. At this point the basil and garlic should be a very fine mince. Add about half the pine nuts, chop. Add the rest of the pine nuts, chop. Add half of the Parmesan, chop. Add the rest of the Parmesan, and chop. In the end you want a chop so fine that you can press all the ingredients into a basil ""cake"" - see the photo up above.  Transfer the pesto ""cake"" to a small bowl (not much bigger than the cake)."
pesto-recipe,"Cover the pesto ""cake"" with a bit of olive oil. It doesn't take much, just a few tablespoons. At this point, you can set the pesto aside, or place it in the refrigerator until you are ready to use it. Just before serving, give the pesto a quick stir to incorporate some of the oil into the basil. Francesca's mom occasionally thins the pesto with a splash of pasta water for more coverage, but for our gnocchi this wasn't necessary."
Recipe        ,Instruction
