Recipe,Amount,Unit,Ingredient
california-panzanella,2.0,-1.0,thick slices of hearty multi-grain bread
california-panzanella,2.0,14.8,extra-virgin olive oil
california-panzanella,0.0,-1.0,fine-grain sea salt
california-panzanella,12.0,28.4,block extra-firm tofu
california-panzanella,0.3,236.6,all-natural peanut butter
california-panzanella,2.0,14.8,brown rice or apple cider vinegar
california-panzanella,1.0,-1.0,garlic
california-panzanella,0.5,14.8,toasted sesame oil
california-panzanella,0.25,14.8,red pepper flakes
california-panzanella,0.33,236.6,hot water
california-panzanella,0.5,236.6,sprouts
california-panzanella,0.5,236.6,oven-roasted or sun-dried tomatoes
green-lentil-soup-recipe,2.0,14.8,unsalted butter
green-lentil-soup-recipe,1.0,-1.0,large yellow onion
green-lentil-soup-recipe,3.0,-1.0,garlic
green-lentil-soup-recipe,0.5,14.8,red pepper flakes
green-lentil-soup-recipe,5.5,236.6,/ 1.3 liters good-tasting vegetable broth or water
green-lentil-soup-recipe,1.5,236.6,/ 10.5 oz / 300 g green lentils or green split peas
green-lentil-soup-recipe,3.0,14.8,unsalted butter
green-lentil-soup-recipe,1.0,14.8,Indian curry powder
green-lentil-soup-recipe,0.5,236.6,/ 125 ml coconut milk
green-lentil-soup-recipe,0.0,-1.0,Fine-grain sea salt
green-lentil-soup-recipe,1.0,-1.0,bunch fresh chives
shepherds-pie-recipe,1.5,453.6,potatoes or sweet potatoes
shepherds-pie-recipe,0.6,236.6,full-fat coconut milk
shepherds-pie-recipe,0.0,-1.0,fine grain sea salt
shepherds-pie-recipe,1.0,14.8,coconut oil
shepherds-pie-recipe,1.0,-1.0,medium onion
shepherds-pie-recipe,4.0,-1.0,garlic
shepherds-pie-recipe,8.0,28.4,mushrooms
shepherds-pie-recipe,1.0,236.6,crushed tomatoes
shepherds-pie-recipe,2.0,14.8,garam masala
shepherds-pie-recipe,2.0,236.6,cooked yellow or green split peas
shepherds-pie-recipe,1.0,236.6,peas (fresh or frozen)
step-up-your-guacamole-game,2.0,-1.0,ripe avocados
step-up-your-guacamole-game,2.0,14.8,fresh lemon juice
step-up-your-guacamole-game,0.0,-1.0,Scant 1/2 teaspoon fine-grain sea salt
step-up-your-guacamole-game,0.5,236.6,coarsely chopped fresh cilantro
step-up-your-guacamole-game,1.0,14.8,clarified butter or extra-virgin coconut oil
step-up-your-guacamole-game,1.0,14.8,black or brown mustard seeds
step-up-your-guacamole-game,1.0,-1.0,small yellow onion
step-up-your-guacamole-game,2.0,-1.0,garlic
step-up-your-guacamole-game,1.0,14.8,Indian curry powder
step-up-your-guacamole-game,1.0,-1.0,small serrano chile
magic-sauce-recipe,0.5,236.6,extra-virgin olive oil
magic-sauce-recipe,1.0,14.8,fresh rosemary leaves
magic-sauce-recipe,1.0,14.8,fresh thyme leaves
magic-sauce-recipe,1.0,14.8,fresh oregano leaves
magic-sauce-recipe,2.0,14.8,sweet paprika
magic-sauce-recipe,2.0,-1.0,medium cloves of garlic
magic-sauce-recipe,1.0,-1.0,well-crumbled bay leaf
magic-sauce-recipe,0.0,0.23,of red pepper flakes
magic-sauce-recipe,0.25,14.8,fine grain sea salt
magic-sauce-recipe,1.0,14.8,fresh lemon juice
beer-roasted-cauliflower,12.0,28.4,beer
beer-roasted-cauliflower,3.0,-1.0,garlic
beer-roasted-cauliflower,3.0,14.8,extra virgin olive oil
beer-roasted-cauliflower,1.0,14.8,fine grain sea salt
beer-roasted-cauliflower,1.0,14.8,red chile flakes
beer-roasted-cauliflower,10.0,236.6,of water
beer-roasted-cauliflower,2.0,14.8,fresh lemon juice
beer-roasted-cauliflower,1.0,-1.0,medium-large head of cauliflower
beer-roasted-cauliflower,12.0,28.4,favorite short pasta or ravioli
panglazed-tempeh-recipe,1.0,236.6,freshly squeezed orange juice (3-4 large juicy oranges)
panglazed-tempeh-recipe,1.0,14.8,freshly grated ginger
panglazed-tempeh-recipe,2.0,14.8,tamari (or soy sauce)
panglazed-tempeh-recipe,1.5,14.8,mirin
panglazed-tempeh-recipe,2.0,14.8,maple syrup
panglazed-tempeh-recipe,0.5,14.8,ground coriander
panglazed-tempeh-recipe,2.0,-1.0,small garlic cloves
panglazed-tempeh-recipe,0.0,-1.0,roughly 10 ounces of tempeh (or extra-firm tofu)
panglazed-tempeh-recipe,2.0,14.8,coconut oil
panglazed-tempeh-recipe,0.5,-1.0,lime
panglazed-tempeh-recipe,0.0,-1.0,a handful of cilantro (coriander) leaves
vegan-quinoa-burritos,1.0,-1.0,avocado
vegan-quinoa-burritos,2.0,-1.0,garlic
vegan-quinoa-burritos,4.0,-1.0,scallion
vegan-quinoa-burritos,0.0,-1.0,handful of chives
vegan-quinoa-burritos,0.25,236.6,tahini or almond butter
vegan-quinoa-burritos,0.25,236.6,water
vegan-quinoa-burritos,5.0,14.8,lemon juice
vegan-quinoa-burritos,0.0,-1.0,salt or coconut aminos
vegan-quinoa-burritos,2.0,-1.0,bunches of kale
vegan-quinoa-burritos,6.0,-1.0,multi-grain or spinach tortillas
vegan-quinoa-burritos,3.0,236.6,cooked mung beans
vegan-quinoa-burritos,3.0,236.6,cooked quinoa
broccoli-cheddar-soup-recipe,6.0,28.4,chunk of artisan whole wheat bread
broccoli-cheddar-soup-recipe,0.25,236.6,melted butter or olive oil (I like 1/2 and 1/2)
broccoli-cheddar-soup-recipe,1.5,14.8,whole grain mustard
broccoli-cheddar-soup-recipe,0.25,14.8,fine grain sea salt
broccoli-cheddar-soup-recipe,2.0,14.8,unsalted butter or olive oil
broccoli-cheddar-soup-recipe,1.0,-1.0,shallot
broccoli-cheddar-soup-recipe,1.0,-1.0,medium onion
broccoli-cheddar-soup-recipe,1.0,-1.0,large potato
broccoli-cheddar-soup-recipe,2.0,-1.0,garlic
broccoli-cheddar-soup-recipe,3.5,236.6, good-tasting vegetable broth
broccoli-cheddar-soup-recipe,1.0,-1.0,large head of broccoli (12 ounces or 3/4 lb.)
broccoli-cheddar-soup-recipe,3.0,14.8,whole grain mustard
weeknight-ponzu-pasta,8.0,28.4,extra firm tofu
weeknight-ponzu-pasta,8.0,28.4,small pasta
weeknight-ponzu-pasta,6.0,14.8,ponzu sauce
weeknight-ponzu-pasta,3.0,-1.0,garlic cloves
weeknight-ponzu-pasta,0.0,-1.0,scant 1/2 teaspoon chile flakes
weeknight-ponzu-pasta,0.25,14.8,toasted sesame oil
weeknight-ponzu-pasta,8.0,28.4,green beans
weeknight-ponzu-pasta,8.0,28.4,broccoli florets
weeknight-ponzu-pasta,0.0,-1.0,a small bunch of cilantro (or basil)
double-broccoli-quinoa,3.0,236.6,cooked quinoa*
double-broccoli-quinoa,5.0,236.6,raw broccoli
double-broccoli-quinoa,3.0,-1.0,medium garlic cloves
double-broccoli-quinoa,0.6,236.6,sliced or slivered almonds
double-broccoli-quinoa,0.3,236.6,freshly grated Parmesan
double-broccoli-quinoa,2.0,-1.0,big pinches salt
double-broccoli-quinoa,2.0,14.8,fresh lemon juice
double-broccoli-quinoa,0.25,236.6,olive oil
double-broccoli-quinoa,0.25,236.6,coconut milk
double-broccoli-quinoa,0.0,-1.0,crumbled feta or goat cheese
immunity-soup,1.0,14.8,extra virgin olive oil
immunity-soup,1.0,-1.0,medium onion
immunity-soup,3.0,-1.0,celery stalks
immunity-soup,1.0,-1.0,medium carrot
immunity-soup,8.0,-1.0,medium garlic cloves
immunity-soup,2.0,14.8,grated ginger
immunity-soup,0.75,14.8,finely ground white pepper
immunity-soup,1.5,236.6,mushrooms
immunity-soup,8.0,28.4,firm tofu
immunity-soup,2.5,14.8,fine grain sea salt
glow-promoting-beauty-bowl,1.0,236.6,frozen organic mixed berries (blueberries
glow-promoting-beauty-bowl,1.0,14.8,chia seeds
glow-promoting-beauty-bowl,0.0,-1.0,sweetener to taste: coconut nectar
ribollita-recipe,3.0,14.8,extra-virgin olive oil
ribollita-recipe,4.0,-1.0,celery stalks
ribollita-recipe,3.0,-1.0,medium cloves garlic
ribollita-recipe,2.0,-1.0,medium carrots or equiv. winter squash
ribollita-recipe,1.0,-1.0,medium red onion
ribollita-recipe,14.0,28.4,/ 400 ml can crushed tomatoes
ribollita-recipe,0.5,14.8,crushed red pepper flakes
ribollita-recipe,1.0,453.6,/ 16 ounces / 450g cavolo nero (lacinato kale
ribollita-recipe,4.0,236.6,/ 22 oz / 620g cooked white beans
ribollita-recipe,0.5,453.6,/ 8 oz / 225g crustless loaf of bread
ribollita-recipe,1.5,-1.0,+ teaspoons fine grain sea salt
ribollita-recipe,0.0,-1.0,zest of one lemon
ribollita-recipe,0.0,-1.0,lots of well-chopped oily black olives
no-bone-broth-recipe,3.0,-1.0,(2-inch) pieces of kombu
no-bone-broth-recipe,8.0,236.6,water
no-bone-broth-recipe,1.0,-1.0,yellow onion
no-bone-broth-recipe,1.0,14.8,olive oil
no-bone-broth-recipe,1.0,-1.0,carrot
no-bone-broth-recipe,1.0,-1.0,leek
no-bone-broth-recipe,0.5,236.6,dried porcini
no-bone-broth-recipe,1.0,-1.0,(2-inch) piece of ginger
no-bone-broth-recipe,1.0,-1.0,(2-inch) piece of turmeric
no-bone-broth-recipe,1.0,-1.0,head garlic
no-bone-broth-recipe,2.0,14.8,dried
no-bone-broth-recipe,6.0,-1.0,sprigs of thyme
no-bone-broth-recipe,2.0,-1.0,bay leaves
no-bone-broth-recipe,1.0,14.8,black peppercorns
no-bone-broth-recipe,3.0,-1.0,dried red chiles
pickled-turmeric-eggs,1.3,236.6,apple cider vinegar
pickled-turmeric-eggs,0.5,236.6,water
pickled-turmeric-eggs,2.0,14.8,sugar
pickled-turmeric-eggs,1.0,14.8,fine grain salt
pickled-turmeric-eggs,2.0,14.8,ground turmeric
pickled-turmeric-eggs,0.5,-1.0,onion (or 4 shallots)
pickled-turmeric-eggs,1.0,14.8,whole peppercorns
pickled-turmeric-eggs,6.0,-1.0,hard-boiled eggs*
golden-beet-hummus-recipe,14.0,28.4,can chickpeas
golden-beet-hummus-recipe,1.0,-1.0,medium golden beet (raw)
golden-beet-hummus-recipe,6.0,14.8,fresh lemon juice (2 lemons)
golden-beet-hummus-recipe,4.0,-1.0,medium garlic cloves
golden-beet-hummus-recipe,0.25,14.8,fine grain sea salt
golden-beet-hummus-recipe,2.0,14.8,tahini
golden-beet-hummus-recipe,0.3,236.6,ice water
instant-pot-mushroom-stroganoff,1.0,14.8,caraway seeds
instant-pot-mushroom-stroganoff,0.3,236.6,vodka
instant-pot-mushroom-stroganoff,1.0,14.8,extra virgin olive oil
instant-pot-mushroom-stroganoff,1.0,-1.0,medium yellow onion
instant-pot-mushroom-stroganoff,3.0,-1.0,garlic cloves
instant-pot-mushroom-stroganoff,1.0,453.6,brown mushrooms
instant-pot-mushroom-stroganoff,2.0,14.8,tomato paste
instant-pot-mushroom-stroganoff,1.0,14.8,flour
instant-pot-mushroom-stroganoff,2.0,14.8,Dijon mustard
instant-pot-mushroom-stroganoff,0.75,14.8,fine grain sea salt
instant-pot-mushroom-stroganoff,0.25,14.8,freshly ground pepper
instant-pot-mushroom-stroganoff,1.75,236.6,mushroom broth (or vegetable broth)
instant-pot-mushroom-stroganoff,2.0,236.6,dried pasta (see headnotes)
instant-pot-mushroom-stroganoff,0.5,236.6,homemade cashew cream*
instant-pot-mushroom-stroganoff,0.0,-1.0,lots of dill
quick-vegan-enchiladas,1.0,14.8,extra virgin olive oil
quick-vegan-enchiladas,15.0,28.4,can sweet potato puree
quick-vegan-enchiladas,0.5,14.8,turmeric powder
quick-vegan-enchiladas,2.0,-1.0,medium cloves garlic
quick-vegan-enchiladas,1.0,14.8,taco seasoning
quick-vegan-enchiladas,0.75,14.8,fine grain sea salt
quick-vegan-enchiladas,1.0,-1.0,lemon
quick-vegan-enchiladas,8.0,-1.0,corn tortillas (6-inch)
quick-vegan-enchiladas,15.0,28.4,can black beans
quick-vegan-enchiladas,0.3,236.6,chopped black olives
quick-vegan-enchiladas,0.3,236.6,tahini
quick-vegan-enchiladas,0.5,236.6,sliced almonds
quick-vegan-enchiladas,1.5,236.6,chopped cilantro leaves
triple-ginger-cookies,0.5,-1.0,+ cup large-grain sugar (i.e. turbinado)
triple-ginger-cookies,2.0,236.6,spelt flour OR whole wheat pastry flour
triple-ginger-cookies,1.0,14.8,baking soda
triple-ginger-cookies,1.0,14.8,ground star anise (or allspice)
triple-ginger-cookies,4.5,14.8,ground ginger
triple-ginger-cookies,0.5,14.8,fine grain sea salt
triple-ginger-cookies,1.0,-1.0,stick (1/2 cup) unsalted butter
triple-ginger-cookies,0.25,236.6,unsulphured molasses (I use Wholesome Sweeteners brand)
triple-ginger-cookies,0.6,236.6,fine grain natural cane sugar
triple-ginger-cookies,1.5,14.8,fresh ginger
triple-ginger-cookies,1.0,-1.0,large egg
triple-ginger-cookies,1.0,236.6,crystallized ginger
triple-ginger-cookies,2.0,-1.0,lemons
white-bean-soup-with-pesto-herb-dumplings,1.0,-1.0,large onion
white-bean-soup-with-pesto-herb-dumplings,2.0,-1.0,carrots
white-bean-soup-with-pesto-herb-dumplings,3.0,14.8,extra-virgin olive oil
white-bean-soup-with-pesto-herb-dumplings,0.5,236.6,whole wheat pastry flour
white-bean-soup-with-pesto-herb-dumplings,5.0,236.6,of water or vegetable broth
white-bean-soup-with-pesto-herb-dumplings,1.0,14.8,fine grain sea salt
white-bean-soup-with-pesto-herb-dumplings,14.0,28.4,can cannellini beans
white-bean-soup-with-pesto-herb-dumplings,1.0,236.6,almond milk (or whatever milk you like)
white-bean-soup-with-pesto-herb-dumplings,1.0,-1.0,egg
white-bean-soup-with-pesto-herb-dumplings,2.0,14.8,pesto
white-bean-soup-with-pesto-herb-dumplings,1.0,236.6,scallions basil lemongrass etc.) plus more for serving
white-bean-soup-with-pesto-herb-dumplings,1.5,236.6,whole wheat pastry flour
white-bean-soup-with-pesto-herb-dumplings,2.0,14.8,baking powder
white-bean-soup-with-pesto-herb-dumplings,0.5,14.8,fine grain sea salt
instant-pot-chickpea-cauliflower-korma,2.0,236.6,Indian-spiced simmer sauce
instant-pot-chickpea-cauliflower-korma,1.0,-1.0,large head of cauliflower
instant-pot-chickpea-cauliflower-korma,14.0,28.4,can chickpeas
instant-pot-chickpea-cauliflower-korma,14.0,28.4,can of diced tomatoes
instant-pot-chickpea-cauliflower-korma,1.0,-1.0,small onion
instant-pot-chickpea-cauliflower-korma,4.0,-1.0,garlic cloves
instant-pot-chickpea-cauliflower-korma,0.0,-1.0,One 1-inch piece of ginger
instant-pot-chickpea-cauliflower-korma,1.0,236.6,chopped cilantro
instant-pot-chickpea-cauliflower-korma,0.0,-1.0,a squeeze of lemon salted-smashed garlic yogurt lemon zest fresh herbs (cilantro dill etc.)
winter-green-miso-paste,0.5,236.6,organic miso
winter-green-miso-paste,0.6,236.6,extra-virgin olive oil
winter-green-miso-paste,4.0,-1.0,medium cloves of garlic
winter-green-miso-paste,2.0,14.8,fresh rosemary
winter-green-miso-paste,2.0,-1.0,bunches of cilantro
winter-green-miso-paste,16.0,-1.0,scallions
winter-green-miso-paste,2.0,-1.0,segment of ginger
instant-pot-minestrone-soup-recipe,2.0,14.8,extra virgin olive oil
instant-pot-minestrone-soup-recipe,1.0,-1.0,medium onion
instant-pot-minestrone-soup-recipe,3.0,-1.0,carrots
instant-pot-minestrone-soup-recipe,3.0,-1.0,celery stalks
instant-pot-minestrone-soup-recipe,2.0,-1.0,medium cloves garlic
instant-pot-minestrone-soup-recipe,1.0,14.8,crushed red chile flakes
instant-pot-minestrone-soup-recipe,1.5,236.6,dried cannellini beans
instant-pot-minestrone-soup-recipe,5.0,-1.0,medium waxy potatoes
instant-pot-minestrone-soup-recipe,3.0,-1.0,chunk of Parmesan rind
instant-pot-minestrone-soup-recipe,8.0,236.6,of water
instant-pot-minestrone-soup-recipe,1.0,-1.0,medium bunch kale or chard
instant-pot-minestrone-soup-recipe,1.25,236.6,crushed tomatoes
instant-pot-minestrone-soup-recipe,1.0,14.8,fine grain sea salt
instant-pot-minestrone-soup-recipe,0.0,-1.0,chopped black olives
mushroom-casserole,0.5,453.6,(8 ounces) brown mushrooms
mushroom-casserole,1.0,-1.0,large onion
mushroom-casserole,3.0,-1.0,garlic
mushroom-casserole,3.0,236.6,cooked brown rice
mushroom-casserole,2.0,-1.0,large eggs
mushroom-casserole,1.0,236.6,cottage cheese
mushroom-casserole,0.5,236.6,yogurt or sour cream
mushroom-casserole,0.5,14.8,fine grain sea salt
mushroom-casserole,0.3,236.6,freshly grated Parmesan cheese
caramelized-tofu,8.0,28.4,extra-firm tofu cut into thin 1-inch segments (see photo)
caramelized-tofu,0.0,-1.0,a couple pinches of fine-grain sea salt
caramelized-tofu,0.0,-1.0,a couple splashes of olive oil
caramelized-tofu,2.0,-1.0,medium cloves garlic
caramelized-tofu,0.3,236.6,pecans
caramelized-tofu,3.0,14.8,fine-grain natural cane sugar or brown sugar
caramelized-tofu,0.25,236.6,cilantro
caramelized-tofu,0.5,453.6,brussels sprouts
kale-quinoa-bites,0.0,-1.0,unsalted butter
kale-quinoa-bites,2.5,236.6,cooked quinoa
kale-quinoa-bites,4.0,-1.0,large eggs
kale-quinoa-bites,0.0,-1.0,scant 1/2 teaspoon fine grain sea salt
kale-quinoa-bites,1.0,-1.0,small onion
kale-quinoa-bites,0.5,236.6,crumbled feta
kale-quinoa-bites,1.0,-1.0,garlic
kale-quinoa-bites,1.0,236.6,very finely chopped kale
kale-quinoa-bites,0.5,236.6,shelled edamame
kale-quinoa-bites,0.75,236.6,breadcrumbs
genius-kale-salad,0.5,236.6,/ 70g peeled
genius-kale-salad,0.0,-1.0,Extra-virgin olive oil
genius-kale-salad,0.0,-1.0,Salt and freshly ground pepper
genius-kale-salad,1.0,-1.0,bunch kale (lacinato or dinosaur kale)
genius-kale-salad,0.25,236.6,/ 35 g almonds
genius-kale-salad,0.25,236.6,/ 35 g crumbled or finely chopped good
genius-kale-salad,0.0,-1.0,Fresh lemon juice
perfect-healthy-granola-recipe,2.0,236.6,rolled oats
perfect-healthy-granola-recipe,5.0,14.8,black cocoa powder or cocoa powder
perfect-healthy-granola-recipe,0.25,236.6,sunflower seeds
perfect-healthy-granola-recipe,0.25,236.6,white sesame seeds
perfect-healthy-granola-recipe,0.25,236.6,quinoa crispies
perfect-healthy-granola-recipe,0.25,236.6,cacao nibs
perfect-healthy-granola-recipe,0.5,14.8,salt
perfect-healthy-granola-recipe,0.5,236.6,aquafaba*
perfect-healthy-granola-recipe,1.0,14.8,extra virgin olive oil
perfect-healthy-granola-recipe,0.3,236.6,runny honey
perfect-healthy-granola-recipe,1.0,14.8,vanilla extract
perfect-healthy-granola-recipe,0.5,236.6,unsweetened toasted coconut flakes
pasta-with-baby-kale-toasted-pumpkin-seeds-and-pesto,8.0,28.4,box of short pasta
pasta-with-baby-kale-toasted-pumpkin-seeds-and-pesto,1.0,236.6,pesto
pasta-with-baby-kale-toasted-pumpkin-seeds-and-pesto,3.0,236.6,of baby kale
pasta-with-baby-kale-toasted-pumpkin-seeds-and-pesto,3.0,-1.0,green onions
pasta-with-baby-kale-toasted-pumpkin-seeds-and-pesto,1.0,236.6,of toasted pumpkin seeds (or pepitas)
pasta-with-baby-kale-toasted-pumpkin-seeds-and-pesto,0.0,-1.0,Zest of 1-2 lemons
california-tom-yum-soup,8.0,236.6,of water
california-tom-yum-soup,2.0,-1.0,large roma tomato (cut in 1/6ths)
california-tom-yum-soup,2.0,-1.0,dried guajillo chile peppers
california-tom-yum-soup,1.5,14.8,palm
california-tom-yum-soup,1.0,-1.0,quantity of Tom Yum Paste* (see below)
california-tom-yum-soup,12.0,28.4,mixed mushrooms (nameko
california-tom-yum-soup,0.0,-1.0,splash of shoyu or soy sauce
california-tom-yum-soup,0.3,236.6,fresh lime juice
california-tom-yum-soup,0.25,236.6,chopped cilantro in each bowl
california-tom-yum-soup,4.0,-1.0,medium shallots
california-tom-yum-soup,3.0,-1.0,stalks of lemongrass
california-tom-yum-soup,2.0,-1.0,serrano chile peppers
california-tom-yum-soup,2.0,-1.0,ginger
california-tom-yum-soup,4.0,-1.0,makrut lime leaves (or 3 makrut lime + 2 Meyer lemon)
california-tom-yum-soup,0.5,14.8,fine grain sea salt
coconut-red-lentil-soup-recipe,1.0,236.6,/ 7 oz / 200g yellow split peas
coconut-red-lentil-soup-recipe,1.0,236.6,7 oz / 200g red split lentils (masoor dal)
coconut-red-lentil-soup-recipe,7.0,236.6,/ 1.6 liters water
coconut-red-lentil-soup-recipe,1.0,-1.0,medium carrot
coconut-red-lentil-soup-recipe,2.0,14.8,fresh peeled and minced ginger
coconut-red-lentil-soup-recipe,2.0,14.8,curry powder
coconut-red-lentil-soup-recipe,2.0,14.8,butter
coconut-red-lentil-soup-recipe,8.0,-1.0,green onions or scallions
coconut-red-lentil-soup-recipe,3.0,14.8,golden raisins
coconut-red-lentil-soup-recipe,0.3,1.0,cup tomato paste
coconut-red-lentil-soup-recipe,14.0,28.4,can coconut milk
coconut-red-lentil-soup-recipe,2.0,14.8,fine grain sea salt
coconut-red-lentil-soup-recipe,0.0,-1.0,one small handful cilantro
simple-cauliflower,3.0,-1.0,heads of small cauliflower (or 1/2 head large)
simple-cauliflower,2.0,14.8,of olive oil
simple-cauliflower,0.0,-1.0,a couple pinches of sea salt
simple-cauliflower,1.0,-1.0,garlic
simple-cauliflower,1.0,-1.0,small bunch of chives
simple-cauliflower,0.0,-1.0,zest of one lemon
simple-cauliflower,0.0,-1.0,freshly grated Parmesan
simple-cauliflower,0.0,-1.0,a bit of flaky sea salt
cauliflower-rice-bowl,0.25,14.8,turmeric
cauliflower-rice-bowl,0.25,14.8,ground cumin
cauliflower-rice-bowl,0.0,-1.0,cayenne pepper
cauliflower-rice-bowl,0.0,-1.0,fine grain sea salt
cauliflower-rice-bowl,1.0,14.8,ghee
cauliflower-rice-bowl,1.0,-1.0,bunch of chives
cauliflower-rice-bowl,0.6,236.6,extra virgin olive oil
cauliflower-rice-bowl,1.0,-1.0,medium head of cauliflower
cauliflower-rice-bowl,0.0,-1.0,Fresh lemon juice
spicy-tahini-noodles,1.0,453.6,of mixed vegetables
spicy-tahini-noodles,1.0,14.8,olive oil
spicy-tahini-noodles,0.0,-1.0,salt and pepper
spicy-tahini-noodles,0.25,236.6,tahini
spicy-tahini-noodles,0.0,-1.0,one lemon
spicy-tahini-noodles,8.0,28.4,dried whole wheat fettuccini
spicy-tahini-noodles,0.0,-1.0,sesame chile sauce*
spicy-tahini-noodles,0.0,-1.0,sesame seeds
slow-cooker-miso-corn-chowder,2.0,14.8,ghee (or clarified butter
slow-cooker-miso-corn-chowder,1.0,-1.0,yellow onion
slow-cooker-miso-corn-chowder,0.0,-1.0,salt and freshly ground pepper
slow-cooker-miso-corn-chowder,1.0,453.6,corn kernels
slow-cooker-miso-corn-chowder,4.0,-1.0,medium russet potatoes
slow-cooker-miso-corn-chowder,1.0,236.6,dried yellow split peas
slow-cooker-miso-corn-chowder,7.0,236.6,water or vegetable stock
slow-cooker-miso-corn-chowder,0.25,236.6,miso paste
making-homemade-tortillas,2.0,236.6,masa harina
making-homemade-tortillas,1.5,236.6,water
ultimate-veggie-burger,2.5,236.6,chickpeas
ultimate-veggie-burger,1.0,-1.0,onion
ultimate-veggie-burger,4.0,-1.0,large eggs
ultimate-veggie-burger,0.5,14.8,fine-grain sea salt
ultimate-veggie-burger,0.3,236.6,chopped fresh cilantro
ultimate-veggie-burger,0.0,-1.0,Grated zest of one large lemon
ultimate-veggie-burger,1.0,236.6,toasted whole-grain bread crumbs
ultimate-veggie-burger,1.0,14.8,extra-virgin olive oil (or clarified butter)
quick-blistered-cherry-tomato-spaghetti,8.0,28.3,dried spaghetti (or 12 oz fresh pasta)
quick-blistered-cherry-tomato-spaghetti,3.0,14.8,extra virgin olive oil
quick-blistered-cherry-tomato-spaghetti,4.0,-1.0,garlic
quick-blistered-cherry-tomato-spaghetti,1.0,-1.0,basket of cherry tomatoes
quick-blistered-cherry-tomato-spaghetti,3.0,236.6,broccoli (or broccolini) florets
quick-blistered-cherry-tomato-spaghetti,0.25,14.8,fine grain sea salt
quick-blistered-cherry-tomato-spaghetti,0.3,236.6,chopped mint leaves
quick-blistered-cherry-tomato-spaghetti,0.5,236.6,toasted cashews
quick-blistered-cherry-tomato-spaghetti,0.0,-1.0,Parmesan cheese
quick-blistered-cherry-tomato-spaghetti,0.0,-1.0,Shichimi togarashi (or chile flakes)
quick-blistered-cherry-tomato-spaghetti,0.0,-1.0,Lots of lemon zest
saag-paneer-recipe,1.5,453.6,fresh (baby) spinach
saag-paneer-recipe,2.0,14.8,ghee
saag-paneer-recipe,12.0,28.3,paneer cheese
saag-paneer-recipe,2.0,-1.0,medium onions
saag-paneer-recipe,0.0,-1.0,scant 1/2 teaspoon fine grain sea salt
saag-paneer-recipe,3.0,-1.0,medium garlic cloves
saag-paneer-recipe,1.0,14.8,grated fresh ginger
saag-paneer-recipe,1.0,14.8,spice mixture* (see below)
saag-paneer-recipe,0.25,14.8,turmeric
saag-paneer-recipe,1.0,236.6,buttermilk
saag-paneer-recipe,0.0,-1.0,fresh lemon to finish
green-soup,1.0,236.6,cooked split green peas
green-soup,2.0,28.4,(2 handfuls) spinach
green-soup,1.0,-1.0,large celery stalk
green-soup,1.0,28.4,parsley leaves (1 handful)
green-soup,1.0,28.4,cilantro leaves (1 handful)
green-soup,1.0,-1.0,garlic
green-soup,1.0,14.8,miso
green-soup,1.0,14.8,nutritional yeast
green-soup,2.0,14.8,coconut cream*
green-soup,2.5,236.6,water
melon-salad-recipe,1.0,-1.0,honeydew
melon-salad-recipe,0.5,236.6,finely sliced scallions
melon-salad-recipe,2.0,14.8,sake
melon-salad-recipe,1.0,-1.0,serrano chile
melon-salad-recipe,0.0,-1.0,a handful fresh cilantro leaves
melon-salad-recipe,0.3,236.6,loosely chopped
melon-salad-recipe,0.0,-1.0,generous pinch of salt
cucumber-salad-recipe,1.0,453.6,cucumbers
cucumber-salad-recipe,0.0,-1.0,fine grain sea salt & lots of freshly cracked pepper
cucumber-salad-recipe,0.5,14.8,rose water
cucumber-salad-recipe,0.25,236.6,white wine vinegar
cucumber-salad-recipe,0.5,236.6,plain yogurt (not Greek)
cucumber-salad-recipe,1.0,-1.0,bunch scallions
cucumber-salad-recipe,0.25,-1.0,+ cup walnuts
cucumber-salad-recipe,1.0,-1.0,small handful mint leaves
cucumber-salad-recipe,1.0,-1.0,tiny handful rose petals
cucumber-salad-recipe,0.0,-1.0,For serving: 1-2 cups cooked lentils
easy-tomato-pasta-salad,0.25,453.6,kale
easy-tomato-pasta-salad,8.0,28.4,dried whole-grain short pasta
easy-tomato-pasta-salad,1.0,14.8,whole caraway seeds
easy-tomato-pasta-salad,3.0,-1.0,garlic cloves
easy-tomato-pasta-salad,0.25,14.8,fine grain sea salt
easy-tomato-pasta-salad,2.0,14.8,harissa paste
easy-tomato-pasta-salad,0.3,236.6,fresh lemon juice
easy-tomato-pasta-salad,0.3,236.6,water or almond milk
easy-tomato-pasta-salad,3.0,14.8,nutritional yeast
easy-tomato-pasta-salad,2.0,453.6,of tomatoes
easy-tomato-pasta-salad,0.0,-1.0,lots of fresh basil
grilled-tofu-spring-rolls,2.0,14.8,ground turmeric
grilled-tofu-spring-rolls,1.0,14.8,olive oil
grilled-tofu-spring-rolls,1.0,236.6,coconut milk or homemade cashew cream
grilled-tofu-spring-rolls,0.0,-1.0,salt to taste
grilled-tofu-spring-rolls,12.0,28.4,extra firm tofu
grilled-tofu-spring-rolls,8.0,-1.0,rice paper wrappers
watermelon-poke-recipe,0.0,-1.0,Grated zest of 1 lemon
watermelon-poke-recipe,0.0,-1.0,Fresh ginger
watermelon-poke-recipe,1.0,14.8,honey
watermelon-poke-recipe,0.75,14.8,cayenne
