be_matched_ingredient,matched_grocery,price_list,avg_mid_price
unsalted butter,"][unsalted butter, 100][salted butter, 93][challenge unsalted butter, 90][tillamook unsalted butter spread, 90][land o lakes unsalted butter, 90","[0.7804723187357803, 0.7804723187357803, 1.172013615760419, 1.0937053563554915, 1.0414998500855397]",0.97
ice water,"][harmless harvest coconut water, 86][naked juice organic coconut water, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][èsse lemon ginger sparkling wellnèsse water, 86","[0.6521337824888154, 0.3251431620124486, 0.4275256081095769, 0.4275256081095769, 0.4153718700863949]",0.42
ripe tomatoes sliced 1/4-inch thick,"][mango sliced, 86][mangos sliced, 86][premium grape tomatoes, 86][sliced white mushrooms, 86][beefsteak tomatoes, 86","[5.99, 5.99, 2.99, 1.99, 2.99]",3.99
egg,"][eggplant, 90][classic eggnog, 90][light eggnog, 90][reiter creamy egg nog, 90][just egg plant based egg, 90","[1.49, 2.49, 2.49, 4.59, 3.99]",2.99
chia seeds,"][navitas organics vegan chia seeds, 90][21 seeds cucumber jalapeno infused blanco tequila, 86][21 seeds valencia orange infused blanco tequila, 86][21 seeds grapefruit hibiscus infused blanco tequila, 86][dave's killer bread organic 21 whole grains and seeds bread, 86","[2.6070124693557206, 2.959013333333333, 2.959013333333333, 2.959013333333333, 0.6353792104562433]",2.84
mango puree,"][fresh garden highway mango spears, 86][fresh garden highway mango chunks, 86][crazy fresh sliced mango, 86][gt's synergy mystic mango organic vegan kombucha, 86][naked mighty mango fruit juice smoothie, 86","[1.562234342757368, 1.6649923279070178, 1.6663832989411924, 0.8475429861193298, 0.7342477662701228]",1.36
almond or oat milk,"][rebbl elixir organic vegan maca mocha coconut milk, 86][rebbl elixir organic turmeric golden coconut milk, 86][miyoko's organic oat milk cultured butter, 86][essentia water 9.5 ph or higher ionized alkaline water, 86][wilson creek almond sparkling wine, 86","[1.9951011885640861, 2.081240409883772, 3.124468685514735, 0.33981675, 2.9551339999999997]",2.34
of good salt,"][good foods plant based tzatziki style dip, 86][good foods plant based queso style dip, 86][good foods plant based buffalo style dip, 86][good foods plant based spicy queso blanco style dip, 86][good foods plant based cilantro dip, 86","[4.99, 7.69, 4.99, 5.99, 4.99]",5.32
wide rice noodles or big square “rice flake” noodles,"][bob's big boy bleu cheese dressing, 86][bob's big boy ranch dressing, 86][fry's frozen big burger, 86][big red soda, 86][big blue soda, 86","[1.0299423470336617, 1.0744104834300428, 2.531082971793533, 0.1331109119838895, 0.38220704346796963]",0.83
serrano pepper,"][serrano pepper salsamedium heat, 90][roli roti sous vide lemon pepper chicken, 86][bourbon black pepper beef sirloin steak tips, 86][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][oscar mayer deli fresh cracked black pepper turkey, 86","[2.99, 6.99, 13.99, 34.95, 3.99]",8.32
rice or white wine vinegar,"][white peaches, 86][white onion, 86][bragg organic honey apple cider vinegar probiotic shot, 86][bragg organic pineapple cayenne apple cider vinegar probiotic shot, 86][tyson all natural white meat fun nuggetsfrozen, 86","[1.99, 0.99, 3.5881819872521006, 3.5881819872521006, 0.49988621097130576]",2.19
soy sauce,"][soy sauce, 100][kikkoman myojo soy sauce flavored ramen noodle soup, 90][maruchan gold soy sauce ramen noodle soup, 90][soy sauce less sodium, 90][aloha shoyu low sodium soy sauce, 90","[1.49, 1.89, 1.49, 1.49, 3.19]",1.62
extra firm tofu,"][organic extra-firm tofu, 90][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large green grapes, 86][extra large red seedless grape, 86","[0.5695842456279149, 0.5993991663580193, 0.6327918775757363, 0.6169303397473207, 2.39]",0.62
of a favorite chile oil,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[0.8124481913261258, 0.8124481913261258, 0.8124481913261258, 0.6499585530609007, 0.6499585530609007]",0.76
oil,"][olive oil mayo, 90][squeeze olive oil mayo, 90][vegetable oil, 90][canola oil, 90][extra virgin olive oil, 90","[0.06925930498480279, 0.1269318201030714, 0.05633844218298971, 0.05633844218298971, 0.2959341716367685]",0.08
onion,"][yellow onions, 90][yellow onion, 90][red onion, 90][green onions, 90][white onion, 90","[2.99, 0.95, 0.99, 0.99, 0.99]",0.99
head of broccoli,"][organic broccoli florets, 86][organic wrapped broccoli, 86][organic green lettuce head, 86][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][boar's head naturally smoked traditional bacon, 86","[3.49, 2.99, 1.79, 34.95, 7.69]",4.72
well-toasted cashews (or peanuts),"][applegate well carved organic mediterranean style turkey & vegetable meatballsfrozen, 86][applegate well carved organic asian style pork & vegetable meatballsfrozen, 86][essentia water 9.5 ph or higher ionized alkaline water, 86][21st amendment brew free! or die blood orange ipa beer, 86][starbucks toasted graham blonde light roast coffeekeruig k-cup pods, 86","[1.6499698407379317, 1.6499698407379317, 0.13592669999999998, 0.3330168901212234, 16.79]",1.21
dried pinto beans,"][green beans, 86][vegan chipotle ranch with black beans salad kit, 86][raven's brew dharma beans medium roast whole bean coffee, 86][bustelo supreme freeze dried medium roast coffee, 86][quick bites cheese, chocolate, dried cranberry & banana, 86","[3.720065609622745, 5.412976822895571, 18.65366232208681, 20.983227217411244, 13.120231397379143]",12.4
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
medium onion,"][salsa mexicana medium, 86][organic yellow onion, 86][organic green onion bunch, 86][french onion cashew plant based dip + spread, 86][healthy ones medium rare roast beefdeli fresh sliced, 86","[4.99, 3.49, 1.19, 4.29, 9.99]",4.26
smoked paprika,"][badia smoked paprika, 95][tyson smoked paprika with brown sugar pork back ribs2.76-3.76 lbs, 90][mccormick smoked paprika, 90][tofurky hickory smoked plant-based deli slices, 86][field roast vegan smoked apple & sage plant based sausages, 86","[0.493342034251045, 24.4, 1.9084012847571288, 0.2838081159039201, 0.2132564696278342]",0.9
freshly squeezed lemon juice,"][lemon, 90][ready pac lemon kale with protein salad kit, 86][kevita raspberry lemon master brew kombucha, 86][naked juice guava, 86][naked juice pina colada juice vegan smoothie, 86","[0.55, 0.7357905471929684, 0.19688679320835778, 0.18371710804391914, 0.18371710804391914]",0.31
dried rice noodles,"][perdue chicken plus rice breaded chicken tendersfrozen, 86][bustelo supreme freeze dried medium roast coffee, 86][rice krispies treats homestyle original, 86][rice krispies the original treats crispy marshmallow cereal bars40ct, 86][rice krispies treats original bars16ct, 86","[1.4999398738794496, 7.8825880023079264, 2.5747789652400086, 10.39, 4.49]",4.98
dried turmeric powder,"][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86][rebbl elixir organic turmeric golden coconut milk, 86][sol-ti chlorophyll aloe superade + turmeric supershots, 86","[0.15904864152028, 1.3099227348808904, 0.13284919909627485, 0.26037496252138487, 149.99]",0.58
white vinegar,"][sliced white mushrooms, 86][giorgio fresh whole white mushrooms, 86][whole white mushrooms, 86][bragg organic honey apple cider vinegar probiotic shot, 86][bragg organic pineapple cayenne apple cider vinegar probiotic shot, 86","[0.38958359053951575, 0.3700065256882838, 0.3700065256882838, 2.244509442575279, 2.244509442575279]",1.0
sugar,"][sugar snap peas, 90][organic sugar snap peas, 90][humm zero sugar peach tea kombucha, 90][humm zero sugar blood orange kombucha, 90][suja low sugar refreshers pack, 90","[0.1820667031164571, 0.214695144535177, 0.13603087530759264, 0.13603087530759264, 2.5022401812433426]",0.18
"""vegetarian """"fish"""" sauce or soy sauce""","][soy sauce, 90][bitchin' chipotle sauce, 86][bitchin' original sauce, 86][bitchin' cilantro sauce, 86][silk vanilla soy creamer, 86","[0.10371493912297101, 0.6512636907176494, 0.6512636907176494, 0.6512636907176494, 3.99]",0.65
sunflower oil,"][starkist chunk light tuna in sunflower oil pouch, 90][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][swamp head midnight oil oatmeal coffee stout beer, 86][vitacup genius ground coffee w/ keto mct oil, turmeric, & b vitamins (energy & focus) medium roast, 86","[0.518039254524907, 0.21376280405478845, 0.21376280405478845, 0.15277566439924634, 1.2518880403534456]",0.32
bunch of broccolini,"][kale bunch, 86][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][coco real cream of coconut drink mix, 86][brown estate house of brown chardonnay wine, 86][journey & discovery red wine of portugal, 86","[0.99, 34.95, 3.99, 19.99, 3.99]",9.32
extra-firm tofu,"][organic extra-firm tofu, 90][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large green grapes, 86][extra large red seedless grape, 86","[1.1391684912558298, 1.1987983327160385, 1.2655837551514726, 1.2338606794946414, 2.39]",1.23
egg,"][eggplant, 90][classic eggnog, 90][light eggnog, 90][reiter creamy egg nog, 90][just egg plant based egg, 90","[1.49, 2.49, 2.49, 4.59, 3.99]",2.99
bean sprouts or diced celery,"][celery, 90][celery sticks, 86][brussels sprouts, 86][celery hearts, 86][organic celery, 86","[0.5829037990088008, 0.9357757632409742, 1.455303444505194, 0.89587228169809, 1.99]",1.1
roasted peanuts,"][honey roasted peanuts, 95][lightly salted dry roasted peanuts, 90][unsalted dry roasted peanuts, 90][planters heart healthy lightly salted dry roasted peanuts, 90][planters honey dry roasted peanuts, 90","[0.3427004885447715, 0.3427004885447715, 0.3427004885447715, 0.5617784264272738, 0.5617784264272738]",0.42
green onions,"][green onions, 100][extra large green seedless grapes, 86][organic green grapes, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][green bell peppers, 86","[0.99, 3.79, 5.99, 2.49, 1.99]",2.76
limes,"][limes, 100][lime, 89][polar lime, 80][polar raspberry lime, 80][polar cranberry lime, 80","[3.19, 0.49, 0.99, 0.99, 0.99]",0.99
unsalted raw peanuts,"][gt's synergy trilogy organic vegan raw kombucha, 86][gt's synergy gingerade organic vegan raw kombucha, 86][gt's synergy gingerberry organic vegan raw kombucha, 86][gt's synergy organic golden pineapple raw kombucha, 86][gt's synergy organic california citrus raw kombucha, 86","[2.5426289583579895, 2.5426289583579895, 2.5426289583579895, 2.5426289583579895, 2.5426289583579895]",2.54
of a medium-large cabbage,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[2.49, 2.49, 2.49, 2.49, 2.49]",2.49
basket of tiny cherry tomatoes,"][hearts of romaine, 86][beefsteak tomatoes, 86][roma tomatoes, 86][medley tomatoes, 86][globe tomatoes, 86","[2.99, 2.99, 1.59, 3.29, 1.99]",2.66
jalapeno chile,"][spicy hatch chile jalapeno chopped salad, 86][cleveland kraut gnarly miso jalapeno dressing, 86][hatch chile dressing & dip, 86][mighty spark food co. queso fresco & jalapeno turkey patties, 86][jalapeno beef pattiesfrozen, 86","[3.99, 4.99, 2.99, 4.19, 10.99]",4.39
cilantro,"][cilantro avocado salad bowl, 90][cilantro bunch, 90][organic cilantro, 90][bitchin' cilantro sauce, 90][avocado cilantro dressing & dip, 90","[2.240533342739731, 1.39, 20.781107250568795, 2.602854547699254, 0.8709532643629048]",2.08
freshly squeezed lime juice,"][lime, 90][naked juice guava, 86][naked juice pina colada juice vegan smoothie, 86][naked green machine all natural fruit + boosts juice smoothie, 86][kevita mojita lime mint coconut sparkling probiotic drink, 86","[0.49, 0.18371710804391914, 0.18371710804391914, 0.191649161175218, 0.19688679320835778]",0.19
olive oil,"][pam olive oil, 95][land o lakes spreadable butter with olive oil & sea salt, 90][country crock olive oil plant butter, 90][take & bake rosemary olive oil focaccia bread, 90][take & bake rosemary and olive oil rolls, 90","[0.8123176775604508, 0.34455634138168223, 0.24760325830891453, 0.34664456163248036, 0.2601574395785934]",0.32
+ fine-grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.060761408686416184, 0.023807511048969422, 0.03722749792345377, 0.038209030019990625, 0.03722749792345377]",0.04
honey,"][honeycrisp apples, 90][organic honeycrisp apples, 90][honeycrisp apple, 90][honeydew melon, 90][honeycrisp blend apple cider, 90","[6.99, 6.99, 1.89, 3.99, 3.49]",4.82
toasted walnuts,"][toasted head chardonnay white wine, 86][toasted head cabernet sauvignon red wine, 86][blue point toasted lager beer, 86][reformation stark toasted porter beer, 86][starbucks toasted graham blonde light roast coffeekeruig k-cup pods, 86","[6.933957333333334, 6.933957333333334, 1.4214054249017984, 2.664579587956936, 16.79]",5.51
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
dried pasta (a short shape),"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[12.45021958059225, 12.45021958059225, 12.45021958059225, 9.960175664473802, 9.960175664473802]",11.62
Juice and zest of one lemon,"][lemon, 90][hearts of romaine, 86][ready pac lemon kale with protein salad kit, 86][kevita raspberry lemon master brew kombucha, 86][naked juice guava, 86","[0.55, 2.99, 5.99, 2.99, 2.79]",2.92
freshly grated Parmesan cheese,"][grated parmesan cheese, 95][grated parmesan cheese cup, 87][crunch pak sweet apple snackers with pretzels & cheese, 86][crunch pak disney foodles peeled apples, cheese & crackers, 86][tattooed chef frozen cauliflower crust mozzarella & cheddar cheese vegan pizza, 86","[1.3509806169420977, 3.3299846558140356, 2.3631865780608776, 2.802440588852862, 2.7784646407637994]",2.65
Lots of freshly ground black pepper,"][ground black pepper, 90][red bell pepper, 86][green bell pepper, 86][orange bell pepper, 86][yellow bell pepper, 86","[2.59, 1.49, 0.79, 1.49, 1.49]",1.49
/ 16 ounces spinach or kale,"][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic pear-y blueberry & spinach smart blend 12+ months, 86][chopped kale, 86][baby spinach, 86][taylor farms chopped kale juicing greens, 86","[12.45021958059225, 11.383057902255773, 2.9900527346161314, 6.384112594578388, 3.6900650805128845]",7.15
eggs,"][grade a large eggs, 90][grade a extra large eggs, 90][hard cooked eggs, 90][cackle fresh grade a large eggs, 90][eggplant, 68","[1.69, 1.99, 1.49, 3.99, 1.49]",1.72
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
cooked chickpeas,"][vegan tangy thai-style curry with quinoa & chickpeas salad kit, 86][love beets organic cooked & peeled beets, 86][jack daniel's seasoned & cooked pulled chicken, 86][john soules foods fully cooked chicken fajitasfrozen, 86][cooked perfect turkey meatballsfrozen, 86","[2.862245550734575, 3.3098788017746026, 4.167696961145699, 3.6460828233302176, 2.430721882220145]",3.27
breadcrumbs,"][gluten free plain bread crumbs, 82][progresso panko crispy bread crumbs plain, 82][progresso panko crispy bread crumbs italian style, 82][kikkoman gluten free panko japanese style bread crumbs, 82][organic plain bread crumbs, 82","[2.309011916729866, 2.076024268505617, 2.076024268505617, 3.6408666819520628, 2.309011916729866]",2.23
/ 20g grated Parmesan,"][follow your heart dairy-free shredded parmesan, 86][parmesan chicken breast cutlets, 86][tyson air fried parmesan chicken bitesfrozen, 86][no name parmesan crusted chicken breastsfrozen, 86][honeysuckle white parmesan garlic turkey meatballs, 86","[5.205709095398508, 2.293015749836858, 1.8757244395844725, 2.0829791236764903, 1.735236365132836]",2.08
baking powder,"][double acting baking powder, 90][clabber girl gluten free double acting baking powder, 90][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86][real ketones d-bhb exogenous keto caffeinated weight loss powder stickspeach, 86][nestle nesquik chocolate flavor powder, 86","[0.1730515855985441, 0.19238695829111888, 19.99, 14.99, 0.17492740533737597]",5.12
+ teaspoon fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[4.19, 5.29, 5.99, 8.49, 5.99]",5.76
zest of one lemon,"][lemon, 90][ready pac lemon kale with protein salad kit, 86][tessemae's organic lemon garlic dressing, 86][kevita raspberry lemon master brew kombucha, 86][concord foods reconstituted lemon juice, 86","[0.55, 5.99, 4.99, 2.99, 0.95]",2.98
3-4 green falafel / beet hummus / toasted pita wedges / roasted carrots / chop salad (kale,"][extra large green seedless grapes, 86][organic green grapes, 86][green bell peppers, 86][green bell pepper, 86][extra large green grapes, 86","[3.79, 5.99, 1.99, 0.79, 7.39]",3.92
large waxy-skinned potatoes,"][russet potatoes, 86][red potatoes, 86][sweet potatoes, 86][golden potatoes, 86][large tail off peeled & deveined raw shrimpfrozen, 86","[2.99, 2.99, 2.99, 4.99, 6.49]",3.66
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
smoked paprika,"][badia smoked paprika, 95][tyson smoked paprika with brown sugar pork back ribs2.76-3.76 lbs, 90][mccormick smoked paprika, 90][tofurky hickory smoked plant-based deli slices, 86][field roast vegan smoked apple & sage plant based sausages, 86","[0.493342034251045, 24.4, 1.9084012847571288, 0.2838081159039201, 0.2132564696278342]",0.9
paprika,"][ground paprika, 90][mccormick paprika, 90][smoked spanish paprika, 90][badia smoked paprika, 90][mccormick smoked paprika, 90","[0.2930403417983146, 0.7362946403167738, 1.9664074028348533, 0.493342034251045, 1.9084012847571288]",1.05
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
fine semolina,"][fine cut sharp cheddar cheese, 86][fine cut colby jack cheese, 86][sargento off the block 4-cheese mexican blend fine shredded cheese, 86][bob's red mill gluten free super fine almond flour, 86][alessi 100% natural fine sea salt, 86","[0.2597223936930105, 0.2597223936930105, 0.39023615936789013, 0.560556623573608, 0.1039759666543208]",0.3
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
freshly ground pepper,"][impossible plant-based burger ground, 86][beyond meat beyond beef plant-based ground, 86][gardein the ultimate beefless ground frozen gluten free, 86][morningstar farms incogmeato frozen original plant-based ground , 86][impossible savory original ground sausage roll, 86","[6.49, 7.79, 4.19, 7.39, 5.79]",6.56
dried beans,"][organic green beans, 86][vegan chipotle ranch with black beans salad kit, 86][raven's brew dharma beans medium roast whole bean coffee, 86][bustelo supreme freeze dried medium roast coffee, 86][quick bites cheese, chocolate, dried cranberry & banana, 86","[4.653415404151748, 5.412976822895571, 18.65366232208681, 20.983227217411244, 13.120231397379143]",12.4
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
yellow or white onion,"][white onion, 90][white peaches, 86][yellow onions, 86][yellow onion, 86][red onion, 86","[0.99, 1.99, 2.99, 0.95, 0.99]",1.32
stalks celery,"][celery, 90][organic celery hearts, 86][green giant celery bunch, 86][suja organic cold-pressed celery juice, 86][real food from the ground up cauliflower stalks sea salt, 86","[1.49, 2.79, 1.49, 3.99, 3.99]",2.76
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
can whole,"][tuscan whole milk, 90][organic whole carrots, 86][giorgio fresh whole white mushrooms, 86][whole white mushrooms, 86][spice world fresh whole garlic, 86","[0.7853887626509815, 2.2615213672198804, 6.626783541155928, 6.626783541155928, 1.59]",3.49
medium carrot,"][salsa mexicana medium, 86][baby-cut carrot snack pack, 86][bolthouse farms carrot juice, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86][naked immune support orange carrot juice smoothie, 86","[4.99, 1.99, 5.29, 3.49, 2.79]",3.76
medium waxy new potatoes,"][russet potatoes, 86][red potatoes, 86][savory garden herb mini creamer potatoes, 86][sweet potatoes, 86][garlic parsley mini creamer potatoes, 86","[2.99, 2.99, 3.99, 2.99, 3.99]",3.32
pearled farro,"][healthy choice frozen chicken feta & farro power bowls, 86][jarritos pineapple, 62][cupcake lighthearted chardonnay white wine, 62][organic applesauce pouchesapple carrot & apple spinach, 62][organic applesauce pouchesapple carrot, 62","[6.483389199289693, 1.0880551845402133, 6.303024, 7.99, 3.29]",5.36
big handfuls of chopped cabbage,"][hearts of romaine, 86][chopped kale, 86][green cabbage, 86][red cabbage, 86][ready pac kale cranberry pecan chopped salad kit, 86","[2.99, 2.99, 1.79, 1.99, 5.89]",2.66
medium garlic clove,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][spice world fresh whole garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86","[3.99, 3.69, 1.59, 4.99, 4.99]",4.22
salt,"][hormel sliced cured salt pork, 90][shiner sea salt & lime beer, 90][sea salt caramel hot cocoa mix, 90][swiss miss salted caramel, 90][salted butter, 90","[3.99, 15.99, 4.99, 2.19, 2.99]",3.99
ripe avocados,"][avocado, 90][avocados, 90][organic hass avocados, 86][smallvocados mini hass avocados, 86][early california sliced ripe olives, 86","[0.89, 2.99, 4.99, 2.29, 4.49]",3.26
medium white onion,"][white onion, 90][yellow onion, 86][red onion, 86][giorgio fresh whole white mushrooms, 86][french onion cashew plant based dip + spread, 86","[0.99, 0.95, 0.99, 1.89, 4.29]",1.29
a squeeze of fresh lime juice,"][lime, 90][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86","[0.49, 2.49, 2.49, 2.49, 2.49]",2.49
Artichokes,"][poshi gluten free and vegan freshly marinated artichokes with basil & thyme, 90][real good frozen stuffed chicken spinach & artichoke, 81][quartered artichoke hearts, 81][spinach artichoke dip, 81][sabra spinach and artichoke hummus, 81","[1.79, 5.99, 1.99, 3.99, 3.49]",3.16
lemon,"][lemon, 100][tropicana premium lemons, 90][organic lemons, 90][tessemae's organic lemon garlic dressing, 90][concord foods reconstituted lemon juice, 90","[0.55, 4.29, 4.19, 4.99, 0.95]",3.14
Extra virgin olive oil or clarified butter,"][extra virgin olive oil, 90][extra large red grapes, 86][extra large green grapes, 86][butter lettuce blend, 86][butter lettuce head, 86","[4.79, 6.99, 7.39, 2.99, 3.19]",4.99
sea salt,"][oscar mayer smoked uncured turkey bacon with sea salt, 90][shiner sea salt & lime beer, 90][cameron's coffee sea salt caramel light roast ground coffee, 90][sea salt caramel hot cocoa mix, 90][larabar chocolate sea salt brownie snack bar, 90","[0.28404541365969266, 0.08335587603766888, 0.3423539215859187, 0.4884477680382371, 0.7329163653679961]",0.37
butter,"][butter lettuce blend, 90][organic girl true hearts butter, plus! lettuce, 90][butter lettuce head, 90][greenhouse grown butter lettuce, 90][ready pac foods tender butter lettuce, 90","[0.5203148791571869, 1.172013615760419, 3.19, 0.8097654083650311, 1.2163882960898782]",1.07
/ 225 g 70% chocolate,"][chocolate flavored mousse plant based dip + spread, 86][bolthouse farms chocolate protein plus shake, 86][rebbl organic reishi chocolate immunity elixir, 86][bolthouse farms protein+ dutch chocolate banana shake, 86][naked juice chocolate protein almondmilk smoothie, 86","[4.297641933720171, 1.523762138197926, 2.5544490844844203, 1.4606960534546842, 1.6123254015641668]",1.9
/ 225 g heavy cream,"][pepsi soda shop cream soda, 86][dr pepper zero sugar cream soda, 86][zevia cream soda zero calorie soda, 86][dr. brown's the original cream soda 6pk, 86][stewart's orange 'n cream made with sugar, 86","[0.266221823967779, 0.2768920373532611, 0.5644542880920043, 0.3190393802259155, 0.6386122711211051]",0.39
fine grain salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.060761408686416184, 0.023807511048969422, 0.03722749792345377, 0.038209030019990625, 0.03722749792345377]",0.04
unsalted butter,"][unsalted butter, 100][salted butter, 93][challenge unsalted butter, 90][tillamook unsalted butter spread, 90][land o lakes unsalted butter, 90","[0.7804723187357803, 0.7804723187357803, 1.172013615760419, 1.0937053563554915, 1.0414998500855397]",0.97
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
/ 9 oz / 255g cubed pumpkin or butternut squash,"][butternut squash, 90][jack o'lantern carving pumpkin, 86][yellow squash, 86][spaghetti squash, 86][acorn squash, 86","[1.29, 5.99, 1.59, 1.29, 1.29]",1.39
salt and pepper to taste,"][red bell pepper, 86][suja organic vegan mighty dozen fruit and vegetable drink, 86][roli roti sous vide lemon pepper chicken, 86][butterball farm to family 93/7 ground turkey, 86][butterball farm to family ground turkey breast, 86","[1.49, 8.99, 6.99, 4.39, 4.99]",5.46
large handful of baby spinach,"][baby spinach, 90][once upon a farm organic pear-y blueberry & spinach smart blend 12+ months, 86][baby-cut carrots, 86][hearts of romaine, 86][spinach bunch, 86","[3.99, 2.49, 0.99, 2.99, 1.49]",2.32
